
  1. setup                                          : etime=00:00:00.9    ctime=00:00:00.5    rss= 26.895 Mbyte     virtual= 16.531 Mbyte     
     1. loading mesh                                : etime=00:00:00.2    ctime=00:00:00.2    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.1    rss= 26.551 Mbyte     virtual= 16.328 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.1    rss= 26.527 Mbyte     virtual= 16.328 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.086 Mbyte     virtual= 16.324 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.332 Mbyte     virtual= 16.324 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.551 Mbyte     virtual= 16.328 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.551 Mbyte     virtual= 16.328 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 26.551 Mbyte     virtual= 16.328 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.1    ctime=00:00:00.2    rss= 38.145 Mbyte     virtual= 27.715 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 38.145 Mbyte     virtual= 27.715 Mbyte     

  4. Frequency 3.75 GHz                             : etime=00:00:01.1    ctime=00:00:03.3    rss=116.738 Mbyte     virtual=195.473 Mbyte     
     1. Frequency 3.75 GHz                          : etime=00:00:01.1    ctime=00:00:03.3    rss=116.027 Mbyte     virtual=195.355 Mbyte     
        1. constructing matrix                      : etime=00:00:00.2    ctime=00:00:01.1    rss= 39.168 Mbyte     virtual= 29.621 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 38.902 Mbyte     virtual= 28.906 Mbyte     
           2. 3d                                    : etime=00:00:00.1    ctime=00:00:00.8    rss= 39.168 Mbyte     virtual= 29.621 Mbyte     
           3. 2d                                    : etime=00:00:00.1    ctime=00:00:00.3    rss= 39.168 Mbyte     virtual= 29.621 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:00.6    ctime=00:00:01.8    rss=112.656 Mbyte     virtual=192.395 Mbyte     
        3. constructing excitation                  : etime=00:00:00.0    ctime=00:00:00.0    rss=113.770 Mbyte     virtual=193.477 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.0    ctime=00:00:00.1    rss=115.086 Mbyte     virtual=194.582 Mbyte     
        5. error estimation                         : etime=00:00:00.0    ctime=00:00:00.1    rss=115.602 Mbyte     virtual=195.012 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=116.738 Mbyte     virtual=195.473 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=116.172 Mbyte     virtual=195.414 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=116.535 Mbyte     virtual=195.473 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=116.535 Mbyte     virtual=195.473 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=116.547 Mbyte     virtual=195.473 Mbyte     

  1. setup                                          : etime=00:00:01.7    ctime=00:00:01.1    rss= 27.590 Mbyte     virtual= 17.254 Mbyte     
     1. loading mesh                                : etime=00:00:00.5    ctime=00:00:00.3    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.1    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
     5. setup circuit components                    : etime=00:00:00.7    ctime=00:00:00.6    rss= 27.336 Mbyte     virtual= 17.191 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.7    ctime=00:00:00.6    rss= 27.313 Mbyte     virtual= 17.191 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.023 Mbyte     virtual= 17.191 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.191 Mbyte     virtual= 17.191 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.336 Mbyte     virtual= 17.191 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.336 Mbyte     virtual= 17.191 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 27.336 Mbyte     virtual= 17.191 Mbyte     

